session_id,student_id,stage,subject_id,subject_label,subject_topic,learning_objectives,objective_count,reflection_count,current_round_index,completed_round_count,defense_turn_count,started_at,last_seen_at,completed_at
a9992c23d9f347d98ed6e24900502488,test123,student-id,,,,,0,0,0,0,0,2026-05-27T08:31:37.458000,2026-05-27T08:31:37.458000,
f5e633a05e5946c9869abd387dcbc4fb,S001,student-id,,,,,0,0,0,0,0,2026-05-27T08:31:49.667000,2026-05-27T08:31:49.667000,
ec93d036c81842b9b9ed0e633d918d11,check001,student-id,,,,,0,0,0,0,0,2026-05-27T08:32:15.397000,2026-05-27T08:32:15.397000,
c88c6037632149f8875c2aa92d26a24b,test,defense,math,数学,《可爱的小猫》,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。 | 在活动中体验图形的多种变化，感受在方格纸上利用“数对”进行图形的放大与缩小的趣味性，激发数学兴趣。,2,2,0,0,0,2026-05-27T09:08:15.092000,2026-05-27T09:16:41.386000,
c5d82904c4a443c88e8b1e5ee3ede6b0,test,defense,math,数学,《可爱的小猫》,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。 | 在活动中体验图形的多种变化，感受在方格纸上利用“数对”进行图形的放大与缩小的趣味性，激发数学兴趣。,2,1,2,2,2,2026-05-27T09:50:14.622000,2026-05-27T09:53:22.540000,
75d7a424699b481ca36b4b92a3502b59,chenyu-may27test,defense,math,数学,《可爱的小猫》,经历将“小猫乐乐”在方格纸上利用“数对”放大的探索过程，通过“填一填”“画一画”等活动，体会用“数对”的变化进行图形的放大与缩小的方法，积累数学活动经验。 | 在活动中体验图形的多种变化，感受在方格纸上利用“数对”进行图形的放大与缩小的趣味性，激发数学兴趣。,2,1,4,4,4,2026-05-27T10:04:16.120000,2026-05-27T10:07:37.089000,
c61c935d915343f0ac6827a9c71fd0f8,chenyu-may27test,complete,science,科学,《厨房里的物质变化》,能列举生活中常见的物理变化（如水结冰、盐溶解）和化学变化（如苹果氧化、铁锅生锈）实例，并用“是否产生新物质”这一核心标准对物质变化进行初步分类。 | 通过观察厨房中水、食盐、苹果等物质的状态与特征，运用比较、分析、归纳的方法，自主建构物理变化和化学变化的概念模型。 | 能够针对厨房中的特定现象（如切菜、烧水、煎蛋），准确描述其变化前后的特征，并能基于观察提出可探究方法。 | 在探究活动中体会科学与生活的紧密联系，感受物质变化的奇妙，初步树立安全用火、合理处理厨余垃圾的生活责任意识。,4,1,4,5,5,2026-05-27T10:04:34.007000,2026-05-27T10:07:53.088000,2026-05-27T10:07:52.311000
313c184c098e4680836316da9250cb17,chenyu-may27test,defense,english,英语,Unit 6 Summer Vacation,"通过听、说、读、写等形式的语言活动，帮助学生复习前几册有关Travel Plan, Winter Vacation, Special Days, Transportation和Around the World等话题的重点词汇和功能句，引导学生综合运用所学语言知识和技能进行交流。 | 引导学生就所听材料或所读短文的内容与他人展开对话交流。 | 引导学生仿照阅读文段，按相应的提示或要求写几个意义连贯的句子。",3,1,2,2,2,2026-05-27T10:04:36.468000,2026-05-27T10:12:40.598000,
3916c8c06982430f94bda7aa552af8a2,chenyu-test-english-reasoning,defense,english,英语,Unit 6 Summer Vacation,"通过听、说、读、写等形式的语言活动，帮助学生复习前几册有关Travel Plan, Winter Vacation, Special Days, Transportation和Around the World等话题的重点词汇和功能句，引导学生综合运用所学语言知识和技能进行交流。 | 引导学生就所听材料或所读短文的内容与他人展开对话交流。 | 引导学生仿照阅读文段，按相应的提示或要求写几个意义连贯的句子。",3,1,2,2,2,2026-05-27T10:40:31.221000,2026-05-27T10:43:21.102000,
798b0c0b60034d5aaa02e9dad46e69ba,chenyu-may27-test-english-reasoning2,defense,english,英语,Unit 6 Summer Vacation,"通过听、说、读、写等形式的语言活动，帮助学生复习前几册有关Travel Plan, Winter Vacation, Special Days, Transportation和Around the World等话题的重点词汇和功能句，引导学生综合运用所学语言知识和技能进行交流。 | 引导学生就所听材料或所读短文的内容与他人展开对话交流。 | 引导学生仿照阅读文段，按相应的提示或要求写几个意义连贯的句子。",3,1,2,2,2,2026-05-27T10:45:36.884000,2026-05-27T10:48:06.117000,
d7bbec33eb044780900d4677df503d77,chenyu-may27-test-english-reasoning3,defense,english,英语,Unit 6 Summer Vacation,"通过听、说、读、写等形式的语言活动，帮助学生复习前几册有关Travel Plan, Winter Vacation, Special Days, Transportation和Around the World等话题的重点词汇和功能句，引导学生综合运用所学语言知识和技能进行交流。 | 引导学生就所听材料或所读短文的内容与他人展开对话交流。 | 引导学生仿照阅读文段，按相应的提示或要求写几个意义连贯的句子。",3,1,4,4,4,2026-05-27T10:51:44.080000,2026-05-27T10:55:59.120000,
5775f9a187d6423eb709b35d9ebd2269,chenyu-may27-test-english-reasoning4,complete,english,英语,Unit 6 Summer Vacation,"通过听、说、读、写等形式的语言活动，帮助学生复习前几册有关Travel Plan, Winter Vacation, Special Days, Transportation和Around the World等话题的重点词汇和功能句，引导学生综合运用所学语言知识和技能进行交流。 | 引导学生就所听材料或所读短文的内容与他人展开对话交流。 | 引导学生仿照阅读文段，按相应的提示或要求写几个意义连贯的句子。",3,1,4,5,5,2026-05-27T11:02:35.426000,2026-05-27T11:06:24.317000,2026-05-27T11:06:23.766000
0b7f2d825ef748b89c650b0a06c008f3,chenyu-may27-test-english-reasoning5,complete,english,英语,Unit 6 Summer Vacation,"通过听、说、读、写等形式的语言活动，帮助学生复习前几册有关Travel Plan, Winter Vacation, Special Days, Transportation和Around the World等话题的重点词汇和功能句，引导学生综合运用所学语言知识和技能进行交流。 | 引导学生就所听材料或所读短文的内容与他人展开对话交流。 | 引导学生仿照阅读文段，按相应的提示或要求写几个意义连贯的句子。",3,1,4,5,5,2026-05-27T11:18:06.015000,2026-05-27T11:25:53.868000,2026-05-27T11:25:53.200000
